etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
1470   | ... | ... | ... | ... | *#brˈuːmɑ# | *#brˈymɑ# | *#brˈymɑ# | *#brˈymɑ# | *#brˈymɑ# | *#brˈỹːmə# {GOLD: >*} | *#bɾˈỹːmbə# {GOLD: >*} | *#bɾˈymbə# {GOLD: >*} | *#bɾˈymbə# | *#bɾˈymbə# {GOLD: #bɾˈymə#}
1471   | ... | ... | ... | *#brˈukɑː̹# | *#brˈukɑː̹# | *#brˈukɤ̹# | *#brˈukʌ̹# | *#brˈukʌ̹# | *#brˈukʌ̹# | *#brˈuk# {GOLD: >*} | *#bɾˈuk# {GOLD: >*} | *#bɾˈuk# {GOLD: >*} | *#bɾˈuk# | *#bɾˈuk# {GOLD: #bɾˈukə#}
1472   | ... | ... | ... | ... | *#fˌɑlkˈoːne# | *#fˌɑlkˈonɛ# | *#fəlkˈye̯nɛ# | *#fəlcˈye̯nɛ# | *#fəlcˈye̯nɛ# | *#fəlcˈye̯n# {GOLD: #faʎkˈuo̯#} | *#fəlcˈye̯n# {GOLD: >*} | *#fəlcˈye̯n# {GOLD: >*} | *#fəlcˈye̯n# | *#fəlt͡ʃˈye̯n# {GOLD: #fajkˈua̯#}
1473   | ... | ... | ... | ... | ... | ... | ... | ... | *#fˌakjˈɔlɪ# | *#fˌakjˈɔːl# {GOLD: >*} | *#fˌakjˈɔːl# {GOLD: >*} | *#fəcˈɔl# {GOLD: >*} | *#fəcˈɔl# | *#fət͡ʃˈɔl# {GOLD: #facˈɔlˠ#}
1474   | ... | ... | ... | ... | *#pʰˌɑsˈeəlːu# | *#pˌɑsˈɛlːu# | *#pəsˈie̯lːu# | *#pəʃˈie̯lːu# | *#pəʃˈie̯lːu# | *#pəʃˈie̯lː# {GOLD: #faʃˈuo̯lˠ#} | *#pəʃˈie̯lˠ# {GOLD: >*} | *#pəʃˈie̯lˠ# {GOLD: >*} | *#pəʃˈie̯lˠ# | *#pəʃˈie̯lˠ# {GOLD: #faʃˈua̯lˠ#}
1475   | ... | ... | ... | ... | *#ˌiːfˌɑskjˈɑːɲoː# | *#ˌifˌɑskjˈɑɲø# | *#fəskjˈɑɲɛ# | *#fəʃcjˈɑɲɛ# | *#fəʃcjˈɑɲɛ# | *#fəʃcjˈãːɲ# {GOLD: >*} | *#fəʃcjˈəːɲ# {GOLD: >*} | *#fəʃcjˈəɲ# {GOLD: >*} | *#fət͡ʃcjˈəɲ# | *#fət͡ʃt͡ʃjˈəɲ# {GOLD: #faʃcˈɔj#}
1476   | ... | ... | ... | ... | *#fˌɑrikˈɑːɲoː# | *#fˌɑrekˈɑɲø# | *#fərəkˈɑɲɛ# | *#fərəkˈɑɲɛ# | *#fərəkˈɑɲɛ# | *#fərkˈãːɲ# {GOLD: >*} | *#fəɾkˈəːɲ# {GOLD: >*} | *#fəɾkˈəɲ# {GOLD: >*} | *#fəɾkˈəɲ# | *#fəɾkˈəɲ# {GOLD: #faɾkˈɔj#}
1477   | ... | ... | ... | ... | *#fˈɑlːu# | *#fˈɑlːu# | *#fˈɑlːu# | *#fˈɑlːu# | *#fˈɑlːu# | *#fˈaːlː# {GOLD: >*} | *#fˈaːlˠ# {GOLD: >*} | *#fˈalˠ# {GOLD: >*} | *#fˈalˠ# | *#fˈalˠ# {GOLD: #fˈaj#}
1478   | ... | ... | ... | ... | *#fˈɑːɡu# | *#fˈɑɡu# | *#fˈɑɡu# | *#fˈɑɡu# | *#fˈɑɡu# | *#fˈaɡ# {GOLD: >*} | *#fˈaɡ# {GOLD: >*} | *#fˈaɡ# {GOLD: >*} | *#fˈaɡ# | *#fˈaɡ# {GOLD: #fˈaɡ#}
1479   | ... | ... | ... | ... | *#fˈɑkjeː# | *#fˈɑkje# | *#fˈɛkjɛ# | *#fˈɛcjɛ# | *#fˈɛcjɛ# | *#fˈɛcj# {GOLD: >*} | *#fˈɛcj# {GOLD: >*} | *#fˈɛcj# {GOLD: >*} | *#fˈɛcj# | *#fˈɛt͡ʃj# {GOLD: #fˈacɛ#}
1480   | ... | ... | ... | ... | *#fˈɑskjɑ# | *#fˈɑskjɑ# | *#fˈɛskjɑ# | *#fˈɛʃcjɑ# | *#fˈɛʃcjɑ# | *#fˈɛːʃcɛ# {GOLD: >*} | *#fˈɛːʃcɛ# {GOLD: >*} | *#fˈɛʃcɛ# {GOLD: >*} | *#fˈɛt͡ʃcɛ# | *#fˈɛt͡ʃt͡ʃɛ# {GOLD: #fˈaʃcə#}
1481   | ... | ... | ... | ... | *#fˈɑːtu# | *#fˈɑtu# | *#fˈɑtu# | *#fˈɑtu# | *#fˈɑtu# | *#fˈat# {GOLD: >*} | *#fˈat# {GOLD: >*} | *#fˈat# {GOLD: >*} | *#fˈat# | *#fˈat# {GOLD: #fˈat#}
1482   | ... | ... | ... | ... | *#pʰˈɑru# | *#pˈɑru# | *#pˈɑru# | *#pˈɑru# | *#pˈɑru# | *#pˈaːr# {GOLD: >*} | *#pˈaːɾ# {GOLD: >*} | *#pˈaɾ# {GOLD: >*} | *#pˈaɾ# | *#pˈaɾ# {GOLD: #fˈaɾ#}
1483   | ... | ... | ... | ... | *#fˈɑrəkɑ# | *#fˈɑrkɑ# | *#fˈɑrkɑ# | *#fˈɑrkɑ# | *#fˈɑrkɑ# | *#fˈaːrkə# {GOLD: #fˈaːɾkə#} | *#fˈaːɾkə# {GOLD: #fˈaːɾkə#} | *#fˈaɾkə# {GOLD: >*} | *#fˈaɾkə# | *#fˈaɾkə# {GOLD: #fˈaɾkə#}
1484   | ... | ... | ... | ... | *#fˈɑrməku# | *#fˈɑrmku# | *#fˈɑrmku# | *#fˈɑrmku# | *#fˈɑrmku# | *#fˈaːrmk# {GOLD: #fˈaɾmək#} | *#fˈaːɾmk# {GOLD: >*} | *#fˈaɾmk# {GOLD: #fˈaɾmək#} | *#fˈaɾmk# | *#fˈaɾmk# {GOLD: #fˈaɾmək#}
1485   | ... | ... | ... | ... | *#fˈɑːmɑ# | *#fˈɑmɑ# | *#fˈɑmɑ# | *#fˈɑmɑ# | *#fˈɑmɑ# | *#fˈãːmə# {GOLD: >*} | *#fˈəːmbə# {GOLD: >*} | *#fˈəmbə# {GOLD: >*} | *#fˈəmbə# | *#fˈəmbə# {GOLD: #fˈamə#}
1486   | ... | ... | ... | ... | *#fˈɑməlːu# | *#fˈɑmlːu# | *#fˈɑmlːu# | *#fˈɑmlːu# | *#fˈɑmlːu# | *#fˈãːmlː# {GOLD: >*} | *#fˈəːmlˠ# {GOLD: >*} | *#fˈəmlˠ# {GOLD: >*} | *#fˈəmlˠ# | *#fˈəmlˠ# {GOLD: #fˈamulˠ#}
1487   | ... | ... | ... | ... | *#fˌɑlːˈeːɲoː# | *#fˌɑlːˈeɲø# | *#fəlːˈɛɲɛ# | *#fəlːˈɛɲɛ# | *#fəlːˈɛɲɛ# | *#fəlːˈɛ̃ːɲ# {GOLD: >*} | *#fəlˠˈɛ̃ːɲ# {GOLD: #fəʎˈɛ̃ɲ#} | *#fəlˠˈɛɲ# {GOLD: #fəjˈɛɲ#} | *#fəlˠˈɛɲ# | *#fəlˠˈɛɲ# {GOLD: #fəjˈɛj#}
1488   | ... | ... | ... | ... | *#fˌenˈestrɑ# | *#fˌɛnˈɛstrɑ# | *#fənjˈɛstrɑ# | *#fənjˈɛʃtrɑ# | *#fənjˈɛʃtrɑ# | *#fə̃njˈɛːʃtrə# {GOLD: >*} | *#fə̃njˈɛːʃtɾə# {GOLD: >*} | *#fənjˈɛʃtɾə# {GOLD: >*} | *#fənjˈɛt͡ʃtɾə# | *#fənjˈɛt͡ʃtɾə# {GOLD: #fəɲˈɛʃtəɾ#}
1489   | ... | ... | ... | ... | *#fˌundˈɑːrju# | *#fˌundˈɑrju# | *#fəndˈɛrju# | *#fəndˈɛrju# | *#fəndˈɛrju# | *#fə̃ndˈɛːrj# {GOLD: >*} | *#fə̃ndˈɛːɾj# {GOLD: >*} | *#fəndˈɛɾj# {GOLD: >*} | *#fəndˈɛɾj# | *#fənˈɛɾj# {GOLD: #fənˈɛɾ#}
1490   | ... | ... | ... | ... | *#fˌɑlkˈiːɲɑ# | *#fˌɑlkˈiɲɑ# | *#fəlkˈiɲɑ# | *#fəlcˈiɲɑ# | *#fəlcˈiɲɑ# | *#fəlcˈĩːɲə# {GOLD: #fəʎcˈĩɲə#} | *#fəlcˈĩːɲə# {GOLD: >*} | *#fəlcˈiɲə# {GOLD: >*} | *#fəlcˈiɲə# | *#fəlt͡ʃˈiɲə# {GOLD: #fəlcˈiɲə#}
1491   | ... | ... | ... | ... | *#frˌikˈɑːɲoː# | *#frˌekˈɑɲø# | *#frəkˈɑɲɛ# | *#frəkˈɑɲɛ# | *#frəkˈɑɲɛ# | *#frkˈãːɲ# {GOLD: >*} | *#fɾkˈəːɲ# {GOLD: >*} | *#fɾkˈəɲ# {GOLD: >*} | *#fɾkˈəɲ# | *#fɾkˈəɲ# {GOLD: #fəɾkˈɔj#}
1492   | ... | ... | ... | ... | *#frˌiːɡulːˈɑːɲoː# | *#frˌiɡulːˈɑɲø# | *#frəɡəlːˈɑɲɛ# | *#frəɡəlːˈɑɲɛ# | *#frəɡəlːˈɑɲɛ# | *#frɡəlːˈãːɲ# {GOLD: >*} | *#fɾɡəlˠˈəːɲ# {GOLD: >*} | *#fɾɡəlˠˈəɲ# {GOLD: >*} | *#fɾɡəlˠˈəɲ# | *#fɾɡəlˠˈəɲ# {GOLD: #fəɾɡəlˠˈɔj#}
1493   | ... | ... | ... | ... | *#frˌiːɡˈoɲoː# | *#frˌiɡˈoɲø# | *#frəɡˈɔɲɛ# | *#frəɡˈɔɲɛ# | *#frəɡˈɔɲɛ# | *#frɡˈɔ̃ːɲ# {GOLD: >*} | *#fɾɡˈɔ̃ːɲ# {GOLD: >*} | *#fɾɡˈɔɲ# {GOLD: >*} | *#fɾɡˈɔɲ# | *#fɾɡˈɔɲ# {GOLD: #fəɾɡˈɔj#}
1494   | ... | ... | ... | ... | *#fˌebrbˈɑːrju# | *#fˌɛbrbˈɑrju# | *#fəbrbˈɛrju# | *#fəbrbˈɛrju# | *#fəbrbˈɛrju# | *#fəbrbˈɛːrj# {GOLD: #fəɾˈuo̯ɾ#} | *#fəbɾbˈɛːɾj# {GOLD: ...} | ... {GOLD: ...} | ... | ... {GOLD: ...}
1495   | ... | ... | ... | ... | *#fˌɑːrinˈɑːtɑ# | *#fˌɑrenˈɑtɑ# | *#fərənˈɑtɑ# | *#fərənˈɑtɑ# | *#fərənˈɑtɑ# | *#fərə̃nˈatə# {GOLD: >*} | *#fəɾə̃ɾˈatə# {GOLD: >*} | *#fəɾəɾˈatə# {GOLD: >*} | *#fəɾəɾˈatə# | *#fəɾəɾˈatə# {GOLD: #fərˈatə#}
1496   | ... | ... | ... | ... | *#fˌɑːrinˈɑːɲoː# | *#fˌɑrenˈɑɲø# | *#fərənˈɑɲɛ# | *#fərənˈɑɲɛ# | *#fərənˈɑɲɛ# | *#fərə̃nˈãːɲ# {GOLD: >*} | *#fəɾə̃ɾˈəːɲ# {GOLD: >*} | *#fəɾəɾˈəɲ# {GOLD: >*} | *#fəɾəɾˈəɲ# | *#fəɾəɾˈəɲ# {GOLD: #fərˈɔj#}
1497   | ... | ... | ... | ... | *#fˌɑmˈiʎɑ# | *#fˌɑmˈeʎɑ# | *#fəmˈiʎɑ# | *#fəmˈiʎɑ# | *#fəmˈiʎɑ# | *#fə̃mˈiːʎə# {GOLD: #fəmˈiʎə#} | *#fə̃mˈiːʎə# {GOLD: >*} | *#fəmˈijə# {GOLD: >*} | *#fəmˈijə# | *#fəmˈijə# {GOLD: #fəmˈijə#}
1498   | ... | ... | ... | ... | *#fˌidˈɑːɲoː# | *#fˌeˈɑɲø# | *#fəˈɑɲɛ# | *#fəˈɑɲɛ# | *#fəˈɑɲɛ# | *#fˈãːɲ# {GOLD: >*} | *#fˈəːɲ# {GOLD: >*} | *#fˈəɲ# {GOLD: >*} | *#fˈəɲ# | *#fˈəɲ# {GOLD: #fɛjˈɔj#}
1499   | ... | ... | ... | ... | *#fˈide# | ... | ... | ... | ... | ... {GOLD: ...} | ... {GOLD: #fˈɛː#} | *#fˈɛ# {GOLD: >*} | *#fˈɛ# | *#fˈɛ# {GOLD: #fˈɛ#}
1500   | ... | ... | ... | ... | *#fˈiʎəkɑ# | *#fˈeʎkɑ# | *#fˈiʎkɑ# | *#fˈiʎkɑ# | *#fˈiʎkɑ# | *#fˈiːʎkə# {GOLD: >*} | *#fˈiːʎkə# {GOLD: >*} | *#fˈijkə# {GOLD: >*} | *#fˈijkə# | *#fˈijkə# {GOLD: #fˈɛjkə#}
1501   | ... | ... | ... | ... | *#fˌɑˈɑʎɑ# | *#fˌɑˈɑʎɑ# | *#fəˈɛʎɑ# | *#fəˈɛʎɑ# | *#fəˈɛʎɑ# | *#fˈɛːʎə# {GOLD: >*} | *#fˈɛːʎə# {GOLD: >*} | *#fˈɛjə# {GOLD: >*} | *#fˈɛjə# | *#fˈɛjə# {GOLD: #fˈɛlə#}
1502   | ... | ... | ... | ... | *#ˌofˈelɑ# | *#ˌofˈɛlɑ# | *#fjˈɛlɑ# | *#fjˈɛlɑ# | *#fjˈɛlɑ# | *#fjˈɛːlə# {GOLD: >*} | *#fjˈɛːlə# {GOLD: >*} | *#fjˈɛlə# {GOLD: >*} | *#fjˈɛlə# | *#fjˈɛlə# {GOLD: #fˈɛlə#}
1503   | ... | ... | ... | ... | *#ˌiːfˈernu# | *#ˌifˈɛrnu# | *#fjˈɛrnu# | *#fjˈɛrnu# | *#fjˈɛrnu# | *#fjˈɛːrn# {GOLD: >*} | *#fjˈɛːɾn# {GOLD: >*} | *#fjˈɛɾn# {GOLD: >*} | *#fjˈɛɾn# | *#fjˈɛɾn# {GOLD: #fˈɛr#}
1504   | ... | ... | ... | ... | *#fˈeːmənɑ# | *#fˈemnɑ# | *#fˈɛmnɑ# | *#fˈɛmnɑ# | *#fˈɛmnɑ# | *#fˈɛ̃ːmnə# {GOLD: #fˈɛ̃məɾ̃ə#} | *#fˈɛ̃ːmnə# {GOLD: >*} | *#fˈɛmnə# {GOLD: >*} | *#fˈɛmnə# | *#fˈɛmnə# {GOLD: #fˈɛməɾ#}
1505   | ... | ... | ... | ... | *#fˌiʎˈɑstər# | *#fˌeʎˈɑstr# | *#fəʎˈɑstr# | *#fəʎˈɑʃtr# | *#fəʎˈɑʃtr# | *#fəʎˈaːʃtr# {GOLD: >*} | *#fəʎˈaːʃtɾ# {GOLD: #fjˈɛʃtɾ̩#} | *#fəjˈaʃtɾ# {GOLD: >*} | *#fəjˈat͡ʃtɾ# | *#fəjˈat͡ʃtɾ# {GOLD: #fjˈɛʃtəɾ#}
1506   | ... | ... | ... | ... | *#fˌiːʎˈeːəlːɑ# | *#fˌiʎˈelːɑ# | *#fəʎˈɛlːɑ# | *#fəʎˈɛlːɑ# | *#fəʎˈɛlːɑ# | *#fəʎˈɛːlːə# {GOLD: >*} | *#fəʎˈɛːlˠə# {GOLD: >*} | *#fəjˈɛlˠə# {GOLD: >*} | *#fəjˈɛlˠə# | *#fəjˈɛlˠə# {GOLD: #fjˈɔlˠə#}
1507   | ... | ... | ... | ... | *#fˌistulːˈɑːɲoː# | *#fˌestulːˈɑɲø# | *#fəstəlːˈɑɲɛ# | *#fəʃtəlːˈɑɲɛ# | *#fəʃtəlːˈɑɲɛ# | *#fəʃtəlːˈãːɲ# {GOLD: >*} | *#fəʃtəlˠˈəːɲ# {GOLD: >*} | *#fəʃtəlˠˈəɲ# {GOLD: >*} | *#fət͡ʃtəlˠˈəɲ# | *#fət͡ʃtəlˠˈəɲ# {GOLD: #fiʃkəlˠˈɔj#}
1508   | ... | ... | ... | ... | *#fˌiːʎˈɑːnu# | *#fˌiʎˈɑnu# | *#fəʎˈɑnu# | *#fəʎˈɑnu# | *#fəʎˈɑnu# | *#fəʎˈãː# {GOLD: #fˌiʎˈɑ̃ɾ̃#} | *#fəʎˈəː# {GOLD: >*} | *#fəjˈə# {GOLD: >*} | *#fəjˈə# | *#fəjˈə# {GOLD: #fˈijə#}
1509   | ... | ... | ... | ... | *#fˈiːku# | *#fˈiku# | *#fˈiku# | *#fˈiku# | *#fˈiku# | *#fˈik# {GOLD: >*} | *#fˈik# {GOLD: >*} | *#fˈik# {GOLD: >*} | *#fˈik# | *#fˈik# {GOLD: #fˈik#}
1510   | ... | ... | ... | ... | *#fˈiːlːu# | *#fˈilːu# | *#fˈilːu# | *#fˈilːu# | *#fˈilːu# | *#fˈiːlː# {GOLD: >*} | *#fˈiːlˠ# {GOLD: >*} | *#fˈilˠ# {GOLD: >*} | *#fˈilˠ# | *#fˈilˠ# {GOLD: #fˈilˠ#}
1511   | ... | ... | ... | ... | *#fˌɑktˈuːrɑ# | *#fˌɑktˈyrɑ# | *#fəktˈyrɑ# | *#fəftˈyrɑ# | *#fəftˈyrɑ# | *#fəftˈyːrə# {GOLD: #fətˈyɾə#} | *#fəftˈyːɾə# {GOLD: >*} | *#fəftˈyɾə# {GOLD: >*} | *#fəftˈyɾə# | *#fəftˈyɾə# {GOLD: #fytˈyɾə#}
1512   | ... | ... | ... | ... | ... | *#fˌɑʎˈoɲø# | *#fəʎˈɔɲɛ# | *#fəʎˈɔɲɛ# | *#fəʎˈɔɲɛ# | *#fəʎˈɔ̃ːɲ# {GOLD: >*} | *#fəʎˈɔ̃ːɲ# {GOLD: >*} | *#fəjˈɔɲ# {GOLD: >*} | *#fəjˈɔɲ# | *#fəjˈɔɲ# {GOLD: #fˈye̯j#}
1513   | ... | ... | ... | ... | *#fˌoʎˈɑːtɑ# | *#fˌoʎˈɑtɑ# | *#fəʎˈɑtɑ# | *#fəʎˈɑtɑ# | *#fəʎˈɑtɑ# | *#fəʎˈatə# {GOLD: >*} | *#fəʎˈatə# {GOLD: >*} | *#fəjˈatə# {GOLD: >*} | *#fəjˈatə# | *#fəjˈatə# {GOLD: #fɔjlˈɛtə#}
1514   | ... | ... | ... | ... | ... | ... | *#fədˈɔsu# | *#fədˈɔʃu# | *#fədˈɔʃu# | *#fədˈɔːʃ# {GOLD: >*} | *#fədˈɔːʃ# {GOLD: >*} | *#fədˈɔʃ# {GOLD: >*} | *#fədˈɔʃ# | *#fədˈɔʃ# {GOLD: #fˈɔʃ#}
1515   | ... | ... | ... | ... | *#fˈorte# | *#fˈortɛ# | *#fˈɛrtɛ# | *#fˈɛrtɛ# | *#fˈɛrtɛ# | *#fˈɛːrt# {GOLD: >*} | *#fˈɛːɾt# {GOLD: >*} | *#fˈɛɾt# {GOLD: >*} | *#fˈɛɾt# | *#fˈɛɾt# {GOLD: #fˈɔɾt#}
1516   | ... | ... | ... | ... | *#fˌoːrmˈelɑ# | *#fˌørmˈɛlɑ# | *#fərmjˈɛlɑ# | *#fərmjˈɛlɑ# | *#fərmjˈɛlɑ# | *#fərmjˈɛːlə# {GOLD: >*} | *#fəɾmjˈɛːlə# {GOLD: >*} | *#fəɾmjˈɛlə# {GOLD: >*} | *#fəɾmjˈɛlə# | *#fəɾmjˈɛlə# {GOLD: #fˈɔɾbəl#}
1517   | ... | ... | ... | ... | ... | ... | ... | *#xˌɒldˈitɪ# | *#xˌɒldˈitɪ# | *#xˌaldˈit# {GOLD: >*} | *#hˌaldˈit# {GOLD: >*} | *#həldˈit# {GOLD: >*} | *#həldˈit# | *#həldˈit# {GOLD: #flˠadˈit#}
1518   | ... | ... | ... | ... | ... | ... | ... | *#xˈɒldʊ# | *#xˈɒldʊ# | *#xˈaːld# {GOLD: >*} | *#hˈaːld# {GOLD: >*} | *#hˈald# {GOLD: >*} | *#hˈald# | *#hˈald# {GOLD: #flˠˈad#}
1519   | ... | ... | ... | ... | *#fˈulkju# | *#fˈulkju# | *#fˈylkju# | *#fˈylcju# | *#fˈylcju# | *#fˈyːlcj# {GOLD: >*} | *#fˈyːlcj# {GOLD: >*} | *#fˈylcj# {GOLD: >*} | *#fˈylcj# | *#fˈylt͡ʃj# {GOLD: #fucˈi#}
1520   | ... | ... | ... | ... | *#fˌuskinˈɑːrju# | *#fˌuskenˈɑrju# | *#fəskənˈɛrju# | *#fəʃkənˈɛrju# | *#fəʃkənˈɛrju# | *#fəʃkə̃nˈɛːrj# {GOLD: >*} | *#fəʃkə̃ɾˈɛːɾj# {GOLD: >*} | *#fəʃkəɾˈɛɾj# {GOLD: >*} | *#fət͡ʃkəɾˈɛɾj# | *#fət͡ʃkəɾˈɛɾj# {GOLD: #fuʒɲˈaɾ#}
1521   | ... | ... | ... | ... | *#fˌiʎikˈeːtu# | *#fˌeʎekˈetu# | *#fəʎəkˈɛtu# | *#fəʎəcˈɛtu# | *#fəʎəcˈɛtu# | *#fəʎcˈɛt# {GOLD: >*} | *#fəʎcˈɛt# {GOLD: >*} | *#fəjcˈɛt# {GOLD: >*} | *#fəjcˈɛt# | *#fəjt͡ʃˈɛt# {GOLD: #fulcˈɛt#}
1522   | ... | ... | ... | ... | *#frˌiktˈɑːrjɑ# | *#frˌejtˈɑrjɑ# | *#frəjtˈɛrjɑ# | *#frəjtˈɛrjɑ# | *#frəjtˈɛrjɑ# | *#frəjtˈɛːrɛ# {GOLD: #fɾ̩tˈɛɾɛ#} | *#fɾəjtˈɛːɾɛ# {GOLD: >*} | *#fɾəjtˈɛɾɛ# {GOLD: >*} | *#fɾəjtˈɛɾɛ# | *#fɾəjtˈɛɾɛ# {GOLD: #fultˈɛɾɛ#}
1523   | ... | ... | ... | ... | *#fˌortˈuːnɑ# | *#fˌortˈynɑ# | *#fərtˈynɑ# | *#fərtˈynɑ# | *#fərtˈynɑ# | *#fərtˈỹːnə# {GOLD: >*} | *#fəɾtˈỹːɾə# {GOLD: >*} | *#fəɾtˈyɾə# {GOLD: >*} | *#fəɾtˈyɾə# | *#fəɾtˈyɾə# {GOLD: #fuɾtˈunə#}
1524   | ... | ... | ... | ... | *#fˈossɑ# | *#fˈossɑ# | *#fˈɔssɑ# | *#fˈɔʃʃɑ# | *#fˈɔʃʃɑ# | *#fˈɔːʃʃə# {GOLD: >*} | *#fˈɔːʃʃə# {GOLD: >*} | *#fˈɔʃʃə# {GOLD: >*} | *#fˈɔt͡ʃʃə# | *#fˈɔt͡ʃʃə# {GOLD: #fˈuʃə#}
1525   | ... | ... | ... | ... | *#fˈustəlːu# | *#fˈustlːu# | *#fˈustlːu# | *#fˈuʃtlːu# | *#fˈuʃtlːu# | *#fˈuːʃtlː# {GOLD: >*} | *#fˈuːʃtlˠ# {GOLD: >*} | *#fˈuʃtlˠ# {GOLD: >*} | *#fˈut͡ʃtlˠ# | *#fˈut͡ʃtlˠ# {GOLD: #fˈuʃtulˠ#}
1526   | ... | ... | ... | ... | *#fˈuskənɑ# | *#fˈusknɑ# | *#fˈusknɑ# | *#fˈuʃknɑ# | *#fˈuʃknɑ# | *#fˈuːʃknə# {GOLD: #fˈuʃcĩɲə#} | *#fˈuːʃknə# {GOLD: >*} | *#fˈuʃknə# {GOLD: >*} | *#fˈut͡ʃknə# | *#fˈut͡ʃknə# {GOLD: #fˈuʒɲə#}
1527   | ... | ... | ... | ... | *#fˈutwoː# | *#fˈutwø# | *#fˈutwɛ# | *#fˈutwɛ# | *#fˈutwɛ# | *#fˈutv# {GOLD: >*} | *#fˈutv# {GOLD: >*} | *#fˈutv# {GOLD: >*} | *#fˈutv# | *#fˈutv# {GOLD: #fˈut#}
1528   | ... | ... | ... | ... | *#fˈundu# | *#fˈundu# | *#fˈundu# | *#fˈundu# | *#fˈundu# | *#fˈũːnd# {GOLD: >*} | *#fˈũːnd# {GOLD: #fˈũnd#} | *#fˈund# {GOLD: >*} | *#fˈund# | *#fˈun# {GOLD: #fˈund#}
1529   | ... | ... | ... | ... | *#fˈurkɑ# | *#fˈurkɑ# | *#fˈurkɑ# | *#fˈurkɑ# | *#fˈurkɑ# | *#fˈuːrkə# {GOLD: >*} | *#fˈuːɾkə# {GOLD: >*} | *#fˈuɾkə# {GOLD: >*} | *#fˈuɾkə# | *#fˈuɾkə# {GOLD: #fˈuɾkə#}
1530   | ... | ... | ... | ... | *#fˈurnu# | *#fˈurnu# | *#fˈurnu# | *#fˈurnu# | *#fˈurnu# | *#fˈuːrn# {GOLD: >*} | *#fˈuːɾn# {GOLD: >*} | *#fˈuɾn# {GOLD: >*} | *#fˈuɾn# | *#fˈuɾn# {GOLD: #fˈur#}
1531   | ... | ... | ... | ... | *#fˈornəke# | *#fˈornkɛ# | *#fˈɛrnkɛ# | *#fˈɛrnɟɛ# | *#fˈɛrnɟɛ# | *#fˈɛːrnɟ# {GOLD: >*} | *#fˈɛːrɟ# {GOLD: >*} | *#fˈɛrɟ# {GOLD: >*} | *#fˈɛrɟ# | *#fˈɛrɟ# {GOLD: #fˈuric#}
1532   | ... | ... | ... | ... | *#βˌiːkˈiːnu# | *#βˌikˈinu# | *#βəkˈinu# | *#βəcˈinu# | *#βəcˈinu# | *#vəcˈĩː# {GOLD: #fcˈĩɲ#} | *#vəcˈĩː# {GOLD: >*} | *#vəcˈi# {GOLD: >*} | *#vəcˈi# | *#vət͡ʃˈi# {GOLD: #fcˈi#}
1533   | ... | ... | ... | ... | *#fˌɑskˈiəlːɑ# | *#fˌɑskˈelːɑ# | *#fəskˈɛlːɑ# | *#fəʃcˈɛlːɑ# | *#fəʃcˈɛlːɑ# | *#fəʃcˈɛːlːə# {GOLD: >*} | *#fəʃcˈɛːlˠə# {GOLD: >*} | *#fəʃcˈɛlˠə# {GOLD: >*} | *#fət͡ʃcˈɛlˠə# | *#fət͡ʃt͡ʃˈɛlˠə# {GOLD: #fcˈɔlˠə#}
1534   | ... | ... | ... | ... | ... | *#fˌɑkeˈolɑ# | *#fəkəˈɔlɑ# | *#fəkəˈɔlɑ# | *#fəkəˈɔlɑ# | *#fəkˈɔːlə# {GOLD: >*} | *#fəkˈɔːlə# {GOLD: >*} | *#fəkˈɔlə# {GOLD: >*} | *#fəkˈɔlə# | *#fəkˈɔlə# {GOLD: #fcˈɔlˠə#}
1535   | ... | ... | ... | ... | *#fˌossˈɑːtu# | *#fˌossˈɑtu# | *#fəssˈɑtu# | *#fəʃʃˈɑtu# | *#fəʃʃˈɑtu# | *#fəʃʃˈat# {GOLD: >*} | *#fəʃʃˈat# {GOLD: >*} | *#fəʃʃˈat# {GOLD: >*} | *#fət͡ʃʃˈat# | *#fət͡ʃʃˈat# {GOLD: #fʃˈat#}
1536   | ... | ... | ... | ... | *#βˌeːssˈiːkɑ# | *#βˌissˈikɑ# | *#βəssˈikɑ# | *#βəʃʃˈikɑ# | *#βəʃʃˈikɑ# | *#vəʃʃˈikə# {GOLD: >*} | *#vəʃʃˈikə# {GOLD: >*} | *#vəʃʃˈikə# {GOLD: >*} | *#vət͡ʃʃˈikə# | *#vət͡ʃʃˈikə# {GOLD: #fʃˈikə#}
1537   | ... | ... | ... | ... | *#fˌissˈikəlːɑ# | *#fˌessˈeklːɑ# | *#fəssˈɛklːɑ# | *#fəʃʃˈɛklːɑ# | *#fəʃʃˈɛklːɑ# | *#fəʃʃˈɛklːə# {GOLD: >*} | *#fəʃʃˈɛklˠə# {GOLD: >*} | *#fəʃʃˈɛklˠə# {GOLD: >*} | *#fət͡ʃʃˈɛklˠə# | *#fət͡ʃʃˈɛklˠə# {GOLD: #fʃˈikulˠ#}
